id,school_id,created_at,classroom_type
3682,699,2018-02-13 00:30:13.781978,Elementary
243,75,2015-09-09 15:39:17.355166,Lower Elementary
1008,366,2016-08-29 05:38:15.26102,Primary
1476,476,2017-01-03 19:28:52.355006,Infant
1477,477,2017-01-03 19:45:34.579307,Lower Elementary
1638,499,2017-02-25 00:34:12.778526,Toddler
2311,319,2017-06-16 20:13:00.633857,Upper Elementary
2312,319,2017-06-16 20:13:00.835224,Adolescent
2877,319,2017-08-23 20:55:15.531417,Upper Elementary
394,158,2016-03-21 20:14:02.374326,Lower Elementary
3670,158,2018-02-06 21:45:08.452715,Toddler
1692,526,2017-03-07 19:06:37.395288,Primary
45,23,2015-02-18 03:25:39.893824,Elementary
1835,88,2017-03-16 21:44:23.512009,Primary
2545,840,2017-07-27 20:02:22.753185,Toddler
44,23,2015-02-18 03:20:29.770988,Primary
2406,813,2017-07-01 04:27:25.497671,Lower Elementary
3,3,2012-09-25 18:28:51.519674,Primary
111,42,2015-07-18 10:26:37.871915,Primary
263,81,2015-09-22 22:38:03.866256,Lower Elementary
683,267,2016-07-19 17:54:49.198249,Primary
685,267,2016-07-19 17:54:49.25722,Primary
575,227,2016-06-03 15:18:18.091265,Primary
573,227,2016-06-03 15:18:14.943086,Lower Elementary
1850,11,2017-03-21 22:51:47.947705,Primary
1921,506,2017-04-12 15:09:25.241192,Lower Elementary
1652,416,2017-02-27 18:44:32.115384,Toddler
1443,238,2016-12-02 01:22:32.469596,Primary
2899,223,2017-08-25 14:46:45.774801,Upper Elementary
1647,416,2017-02-27 18:43:12.783876,Infant
1648,416,2017-02-27 18:43:31.083964,Infant
2903,200,2017-08-25 17:38:54.009879,Primary
1494,431,2017-01-06 20:43:05.033891,Upper Elementary
185,21,2015-08-27 21:28:47.014898,Lower Elementary
892,223,2016-08-17 16:39:08.126697,Lower Elementary
2541,835,2017-07-27 16:46:56.97768,Primary
2542,835,2017-07-27 16:46:58.515691,Upper School
38,21,2014-10-13 23:11:47.646607,Primary
2902,221,2017-08-25 16:38:06.428576,Lower Elementary
829,324,2016-08-11 18:52:07.901554,Primary
1636,499,2017-02-25 00:34:12.67367,Primary
3685,869,2018-02-13 19:58:50.425348,Upper Elementary
1460,335,2016-12-20 22:39:17.630107,Primary
1637,499,2017-02-25 00:34:12.726606,Elementary
276,25,2015-10-12 13:07:27.063806,Primary
1520,461,2017-01-17 22:12:38.444891,Infant
2552,693,2017-07-27 21:37:09.837772,Primary
2325,781,2017-06-19 15:39:50.172293,Elementary
3683,1096,2018-02-13 05:10:14.568967,Primary
1805,481,2017-03-08 14:35:11.758447,Lower Elementary
1017,304,2016-08-29 05:38:15.984234,Upper Elementary
1499,431,2017-01-11 01:21:24.140999,Primary
1518,103,2017-01-17 18:45:50.327083,Preschool/Kindergarten
1094,376,2016-08-29 05:38:53.353807,Infant
245,25,2015-09-09 19:08:05.692194,Elementary
590,266,2016-06-14 00:10:09.208543,Primary
1503,478,2017-01-13 02:39:09.067531,Primary
1065,370,2016-08-29 05:38:36.685468,Primary
1015,304,2016-08-29 05:38:15.948195,Upper Elementary
1506,485,2017-01-16 21:09:29.405377,Toddler
204,72,2015-09-02 15:11:49.182368,Upper Elementary
2992,911,2017-09-01 18:51:45.130278,Upper Elementary
2876,319,2017-08-23 20:54:13.053298,Lower Elementary
327,102,2016-01-26 01:05:02.603779,Primary
1693,526,2017-03-07 19:06:37.41166,Primary
2644,319,2017-08-03 19:29:48.330985,Primary
2904,76,2017-08-25 20:07:23.672761,Primary
121,53,2015-07-29 15:18:04.539603,Primary
28,16,2014-08-27 23:56:14.192558,Infant
1358,333,2016-10-21 04:04:29.264257,Toddler
1682,525,2017-03-06 19:58:55.056576,Elementary
1627,519,2017-02-21 22:35:31.618679,Primary
2553,844,2017-07-28 18:04:32.222473,Primary
112,42,2015-07-18 10:27:26.573789,Lower Elementary
1605,511,2017-02-19 17:13:58.996859,Primary
1832,510,2017-03-15 19:17:26.525252,Toddler
2167,767,2017-05-30 16:38:21.156483,Elementary
1431,463,2016-11-23 18:01:49.954557,Primary
1516,486,2017-01-16 22:29:57.316112,Infant
70,41,2015-04-10 16:22:05.587299,Toddler
1444,238,2016-12-02 01:22:43.966603,Primary
1448,416,2016-12-05 22:53:41.112722,Primary
1653,416,2017-02-27 18:44:48.242805,Toddler
2709,162,2017-08-10 18:01:02.373655,Lower Elementary
1651,416,2017-02-27 18:44:16.462045,Infant
1670,416,2017-02-27 18:52:28.731477,Infant
1522,416,2017-01-18 21:48:22.893077,Toddler
1447,416,2016-12-05 22:48:30.923152,Toddler
3684,809,2018-02-13 16:20:47.805116,Elementary
2441,826,2017-07-10 16:40:31.981774,Primary
804,313,2016-08-09 16:53:28.111328,Primary
16,8,2014-05-21 06:32:51.780981,Primary
1496,348,2017-01-09 21:21:22.709351,Toddler
1067,370,2016-08-29 05:38:36.722073,Primary
2550,841,2017-07-27 21:10:03.269801,Primary
1806,481,2017-03-08 14:35:21.556091,Lower Elementary
1573,494,2017-02-08 17:12:03.753845,Lower Elementary
684,267,2016-07-19 17:54:49.229019,Primary
195,70,2015-08-31 14:57:02.617655,Lower Elementary
66,30,2015-03-31 12:43:32.610418,Lower Elementary
43,22,2015-02-13 21:06:32.241912,Elementary
203,72,2015-09-02 15:11:40.491045,Lower Elementary
398,180,2016-03-24 03:47:41.291833,Primary
400,180,2016-03-24 03:47:42.029751,Toddler
401,180,2016-03-24 03:47:42.057072,Toddler
397,180,2016-03-24 03:47:41.257601,Primary
3087,761,2017-09-13 04:16:52.955067,Primary
3146,851,2017-09-22 01:20:07.181219,Primary
1530,358,2017-01-24 00:33:21.364844,Toddler
1842,462,2017-03-20 22:57:11.592727,Toddler
181,48,2015-08-25 22:49:23.724525,Upper Elementary
3140,958,2017-09-21 17:39:48.068615,Children's House
355,130,2016-02-25 01:17:28.480325,Elementary
2549,266,2017-07-27 21:05:13.330641,Primary
648,266,2016-07-08 14:29:01.406614,Primary
3147,851,2017-09-22 01:20:54.742345,Elementary
1534,493,2017-01-26 16:39:59.073945,Lower Elementary
1549,22,2017-02-01 17:47:00.771293,Elementary
1536,493,2017-01-26 16:40:02.541005,Upper Elementary
2546,840,2017-07-27 20:02:26.347041,Lower Elementary
2021,158,2017-04-30 21:08:54.0333,Toddler
3687,816,2018-02-15 15:38:20.135648,Primary
1293,412,2016-09-29 19:58:39.947444,Primary
581,233,2016-06-08 19:38:13.343981,Infant
1839,538,2017-03-17 02:45:25.759648,Toddler
3143,378,2017-09-21 23:37:38.702171,Primary
157,19,2015-08-20 15:25:51.052195,Primary
110,42,2015-07-18 10:26:19.120344,Primary
1461,474,2016-12-22 01:03:54.448678,Upper Elementary
1607,511,2017-02-19 17:14:05.024009,Toddler
2168,767,2017-05-30 16:38:22.785706,Primary
1887,685,2017-03-28 20:50:05.575991,Primary
2169,767,2017-05-30 16:38:22.840718,Primary
456,160,2016-05-02 14:49:27.856443,Lower Elementary
1914,506,2017-04-12 14:49:54.342821,Primary
459,160,2016-05-02 14:49:27.915809,Lower Elementary
461,160,2016-05-02 14:49:28.117186,Upper Elementary
618,70,2016-06-23 19:11:34.45268,Children's House
2551,693,2017-07-27 21:11:36.68868,Toddler
2711,162,2017-08-10 18:02:21.370031,Upper Elementary
182,21,2015-08-27 21:27:07.818482,Primary
1327,390,2016-10-17 01:18:17.985516,Primary
1403,390,2016-11-15 19:50:17.051134,Primary
99,38,2015-06-19 15:50:57.047127,Primary
2531,778,2017-07-26 21:17:56.110728,Lower Elementary
1066,370,2016-08-29 05:38:36.705269,Primary
423,203,2016-04-06 15:45:57.223942,Primary
2561,530,2017-07-29 07:34:53.162767,Upper Elementary
1535,493,2017-01-26 16:40:02.43698,Primary
3142,917,2017-09-21 19:14:11.664656,Primary
42,22,2015-02-07 09:35:06.906581,Primary
735,300,2016-07-25 22:35:13.789677,Primary
2164,761,2017-05-29 17:11:15.984738,Toddler
1561,501,2017-02-06 18:06:43.053516,Lower Elementary
1562,501,2017-02-06 18:06:43.172896,Lower Elementary
3688,856,2018-02-15 16:20:14.44696,Toddler
3689,869,2018-02-15 16:27:52.59828,Upper Elementary
1526,162,2017-01-23 14:04:21.364204,Lower Elementary
1541,481,2017-01-31 20:41:34.831117,Infant
3145,851,2017-09-22 01:17:20.309949,Primary
1563,95,2017-02-06 18:52:21.553521,Toddler
3138,956,2017-09-20 02:11:34.618448,Primary
1540,112,2017-01-27 21:22:30.533909,Upper Elementary
3144,952,2017-09-22 00:17:51.177248,Primary
3088,761,2017-09-13 04:17:08.049921,Toddler
3141,958,2017-09-21 17:39:48.833519,Toddler's Community
2383,806,2017-06-28 04:46:23.72348,Lower Elementary
1247,394,2016-09-20 15:45:48.204727,Adolescent
2149,89,2017-05-24 15:56:03.092839,Upper Elementary
338,103,2016-02-02 01:04:00.677175,Preschool/Kindergarten
1804,481,2017-03-08 14:35:00.195881,Lower Elementary
490,3,2016-05-10 22:01:56.985581,Primary
1391,450,2016-11-09 22:39:49.565377,Lower Elementary
971,118,2016-08-29 05:38:08.516642,Infant
1533,12,2017-01-26 00:21:07.340135,Primary
2376,623,2017-06-27 17:01:07.79381,Primary
1606,511,2017-02-19 17:14:04.475393,Elementary
2544,840,2017-07-27 20:02:22.436559,Primary
1577,421,2017-02-09 17:12:28.003806,Upper Elementary
2725,866,2017-08-10 18:22:35.36645,Toddler
2724,866,2017-08-10 18:22:34.995069,Primary
1550,498,2017-02-02 06:53:16.094757,Primary
2555,844,2017-07-28 18:04:32.383051,Primary
1555,3,2017-02-02 22:20:04.349895,Primary
741,302,2016-07-26 15:42:33.474728,Primary
1538,492,2017-01-27 20:38:45.297283,Upper Elementary
2908,903,2017-08-26 01:15:45.601861,Elementary
497,42,2016-05-12 13:19:40.948604,Lower Elementary
1504,478,2017-01-13 02:39:14.632717,Lower Elementary
2495,515,2017-07-19 16:51:46.34079,Elementary
462,160,2016-05-02 14:49:28.145543,Upper Elementary
1557,500,2017-02-03 17:29:04.191286,Primary
768,245,2016-08-03 21:03:11.543823,Lower Elementary
2557,126,2017-07-28 21:32:48.591877,Lower Elementary
2558,126,2017-07-28 21:32:48.625747,Lower Elementary
3686,809,2018-02-13 20:45:15.242844,Primary
2133,431,2017-05-18 20:58:40.499593,Elementary
100,38,2015-06-19 15:51:02.811592,Primary
502,221,2016-05-16 22:03:47.328372,Primary
2651,758,2017-08-05 22:17:43.067469,Primary
483,214,2016-05-09 15:10:37.064035,Primary
958,365,2016-08-29 05:38:04.059912,Primary
991,125,2016-08-29 05:38:12.94443,Primary
484,19,2016-05-10 14:18:24.647974,Upper Elementary
3698,548,2018-02-17 05:01:35.669676,Primary
3690,534,2018-02-15 18:26:24.205861,Primary
3139,891,2017-09-20 21:25:20.394296,Primary
1277,79,2016-09-23 20:38:59.780792,Upper Elementary
2889,856,2017-08-24 14:26:41.641316,Infant
478,172,2016-05-09 13:55:01.859723,Upper Elementary
479,172,2016-05-09 13:55:01.878452,Upper Elementary
480,172,2016-05-09 13:55:01.897224,Upper Elementary
481,172,2016-05-09 13:55:02.366192,Adolescent
145,60,2015-08-14 22:27:43.735807,Upper Elementary
445,217,2016-04-19 17:15:36.70397,Lower Elementary
447,217,2016-04-19 17:15:36.877322,Adolescent
448,88,2016-04-26 15:51:25.324714,Primary
1615,517,2017-02-21 19:31:40.286384,Elementary
3693,1098,2018-02-15 19:21:07.647566,Primary
3694,1098,2018-02-15 19:21:07.686139,Primary
337,103,2016-02-02 01:03:55.196099,Preschool/Kindergarten
3692,1098,2018-02-15 19:21:07.606326,Primary
2375,623,2017-06-27 17:01:07.770571,Primary
3707,1099,2018-02-20 00:44:26.459601,Primary Casa
533,228,2016-05-19 16:24:20.802316,Primary
3697,1110,2018-02-16 01:55:02.465281,Primary
3699,531,2018-02-19 21:20:53.217473,Primary
2916,904,2017-08-28 16:39:24.435487,Primary
1192,348,2016-09-13 17:32:31.207777,Elementary
2195,348,2017-06-01 17:39:11.308461,Primary
2374,276,2017-06-27 13:35:28.480219,Elementary
2451,816,2017-07-10 21:02:17.689464,Toddler
2452,816,2017-07-10 21:02:17.715583,Toddler
2453,816,2017-07-10 21:02:17.742561,Toddler
2454,816,2017-07-10 21:02:17.764924,Primary
1837,533,2017-03-17 02:10:20.302364,Primary
742,302,2016-07-26 15:42:33.495209,Primary
576,227,2016-06-03 15:18:18.333233,Upper Elementary
1596,475,2017-02-16 20:22:36.419695,Lower Elementary
2909,903,2017-08-26 01:15:45.63809,Elementary
2910,903,2017-08-26 01:15:46.81006,Primary
577,227,2016-06-03 15:18:18.396189,Upper Elementary
2912,893,2017-08-26 02:32:48.187901,Lower Elementary
1558,500,2017-02-03 17:29:05.216722,Toddler
2499,515,2017-07-19 16:52:26.090597,Primary
2494,515,2017-07-19 16:51:35.634295,Elementary
2493,515,2017-07-19 16:51:12.158649,Elementary
2559,126,2017-07-28 21:32:48.66788,Upper Elementary
551,224,2016-05-26 20:36:40.10281,Primary
555,223,2016-05-27 16:15:56.670195,Lower Elementary
550,224,2016-05-26 20:36:40.072209,Primary
1589,507,2017-02-10 19:39:35.890142,Primary
1590,507,2017-02-10 19:39:35.921096,Primary
1591,507,2017-02-10 19:39:35.945977,Primary
2917,900,2017-08-28 16:59:48.989548,Elementary
885,223,2016-08-17 16:28:10.465205,Primary
639,245,2016-07-01 13:46:58.432373,Adolescent
512,221,2016-05-16 22:04:05.295509,Upper Elementary
769,245,2016-08-03 21:04:45.446705,Upper Elementary
2652,758,2017-08-05 22:19:33.760589,Lower Elementary
509,221,2016-05-16 22:04:05.103304,Lower Elementary
1838,537,2017-03-17 02:43:50.822397,Primary
434,214,2016-04-15 16:17:26.214608,Primary
960,365,2016-08-29 05:38:04.526758,Toddler
321,81,2016-01-19 15:57:41.238728,Primary
541,81,2016-05-24 05:24:48.652436,Lower Elementary
3695,1098,2018-02-15 19:21:07.724732,Primary
3696,1098,2018-02-15 19:21:07.756841,Primary
1616,508,2017-02-21 19:38:35.760575,Primary
3703,1103,2018-02-19 21:39:00.761691,Primary
1700,481,2017-03-07 20:53:12.353859,Toddler
797,313,2016-08-09 16:53:26.337223,Toddler
3197,775,2017-10-03 21:23:37.0427,Primary
2924,868,2017-08-28 17:32:46.991889,Toddler
3691,534,2018-02-15 18:29:01.524172,Primary
2390,623,2017-06-29 07:03:41.445125,Primary
2442,826,2017-07-10 16:40:34.834012,Lower Elementary
3198,976,2017-10-04 18:27:32.55948,Toddler
2444,826,2017-07-10 16:40:35.143698,Toddler
1543,481,2017-01-31 20:41:34.896574,Toddler
1610,516,2017-02-20 21:23:57.174967,Infant
3701,1112,2018-02-19 21:27:46.363918,Primary
3700,1112,2018-02-19 21:27:44.29069,Elementary
3705,1113,2018-02-19 21:48:09.230697,Primary
2340,796,2017-06-20 16:45:56.896198,Toddler
2918,905,2017-08-28 17:21:48.266987,Primary
2338,796,2017-06-20 16:45:56.758542,Infant
73,41,2015-04-10 16:25:12.217338,Elementary
3706,1113,2018-02-19 21:48:10.549658,Primary
1595,273,2017-02-15 22:15:34.523358,Lower Elementary
2656,228,2017-08-07 18:56:30.626162,Primary
612,231,2016-06-21 17:17:46.735515,Acorn Room
1996,742,2017-04-26 01:28:15.891809,Primary
1997,742,2017-04-26 01:28:15.910464,Primary
1405,333,2016-11-15 22:08:31.688959,Toddler
1583,497,2017-02-09 22:35:59.749657,Infant
1585,497,2017-02-09 22:35:59.802812,Toddler
1626,519,2017-02-21 22:35:31.583085,Primary
3196,805,2017-10-03 21:19:13.704622,Primary
597,183,2016-06-15 18:32:11.60737,Primary
2554,844,2017-07-28 18:04:32.311327,Primary
1625,519,2017-02-21 22:35:31.524481,Primary
2911,903,2017-08-26 01:15:47.164931,Infant
1336,292,2016-10-17 07:13:59.753267,Lower Elementary
919,344,2016-08-19 19:39:06.686565,Adolescent
2527,227,2017-07-26 12:40:51.905884,Primary
584,153,2016-06-09 06:14:12.291381,Primary
2378,802,2017-06-27 19:24:29.512611,Primary
615,103,2016-06-22 21:50:14.595157,Before/After School Care
2913,893,2017-08-26 02:33:13.42272,Lower Elementary
2658,184,2017-08-07 21:55:12.427958,Lower Elementary
1608,514,2017-02-20 20:27:42.028793,Primary
1609,515,2017-02-20 20:38:00.174765,Primary
607,238,2016-06-20 20:44:46.435791,Lower Elementary
2915,695,2017-08-28 16:21:55.990617,Upper Elementary
2391,809,2017-06-30 14:44:28.755013,Primary
1193,390,2016-09-13 19:39:44.462665,Lower Elementary
2392,809,2017-06-30 14:44:31.151599,Elementary
2491,778,2017-07-18 18:40:34.244155,Upper Elementary
976,335,2016-08-29 05:38:09.754473,Upper Elementary
2653,758,2017-08-05 22:19:55.460463,Lower Elementary
1073,371,2016-08-29 05:38:45.033175,Primary
1044,368,2016-08-29 05:38:21.865385,Infant
1851,232,2017-03-22 02:24:23.959867,Elementary
2443,826,2017-07-10 16:40:34.892272,Upper Elementary
1613,512,2017-02-20 21:37:16.410302,Lower Elementary
1614,512,2017-02-20 21:37:16.451364,Upper Elementary
2925,868,2017-08-28 17:32:47.038884,Toddler
3148,957,2017-09-22 21:22:06.337423,Lower Elementary
643,231,2016-07-05 21:08:04.950753,Oak Room
399,180,2016-03-24 03:47:41.316243,Primary
654,180,2016-07-10 04:38:00.188396,Primary
653,180,2016-07-10 04:37:45.703241,Primary
539,81,2016-05-24 05:24:48.56761,Primary
652,180,2016-07-10 04:37:34.432282,Primary
1845,462,2017-03-20 23:02:41.469347,Infant
1294,411,2016-09-29 20:22:54.073759,Primary
1634,499,2017-02-25 00:34:12.567853,Primary
1847,542,2017-03-21 20:22:19.615895,Toddler
532,81,2016-05-19 15:15:03.266321,Upper Elementary
699,285,2016-07-20 03:33:20.673493,Lower Elementary
1639,499,2017-02-26 14:30:39.947675,Primary
2504,12,2017-07-19 21:02:15.41578,Primary
660,272,2016-07-12 18:57:44.8506,Primary
2661,466,2017-08-08 01:45:32.129877,Lower Elementary
2662,466,2017-08-08 01:45:32.148742,Lower Elementary
655,46,2016-07-11 14:40:55.044068,Upper Elementary
668,273,2016-07-18 17:13:45.93819,Upper Elementary
1994,193,2017-04-26 01:25:17.889281,Primary
667,273,2016-07-18 17:13:45.847515,Lower Elementary
2564,840,2017-07-31 18:44:53.031358,Primary
1406,333,2016-11-15 22:09:24.610082,Toddler
632,129,2016-06-30 20:53:27.940717,Primary
1840,538,2017-03-17 02:45:27.217312,Primary
498,42,2016-05-12 13:25:31.66042,Primary
700,285,2016-07-20 03:33:20.699539,Primary
589,266,2016-06-14 00:10:09.185049,Infant
529,81,2016-05-19 15:13:17.864803,Primary
583,153,2016-06-09 06:14:09.34709,Toddler
647,266,2016-07-08 14:28:38.332505,Primary
677,267,2016-07-19 17:54:47.551503,Infant
646,266,2016-07-08 14:28:22.215567,Infant
678,267,2016-07-19 17:54:47.576329,Infant
614,103,2016-06-22 21:21:50.795027,Before/After School Care
1853,544,2017-03-22 15:48:37.278993,Preschool
1854,544,2017-03-22 15:48:37.302798,Preschool
1600,510,2017-02-16 22:30:17.45013,Primary
1601,510,2017-02-16 22:30:17.473183,Primary
609,238,2016-06-20 20:44:46.499171,Upper Elementary
1599,510,2017-02-16 22:30:15.967708,Toddler
2568,846,2017-07-31 18:56:51.868267,Lower Elementary
455,160,2016-05-02 14:49:21.092301,Primary
666,37,2016-07-18 16:45:14.731689,Upper Elementary
608,238,2016-06-20 20:44:46.458803,Lower Elementary
2492,778,2017-07-18 18:41:10.677069,Upper Elementary
2393,507,2017-06-30 14:46:00.182877,Lower Elementary
2565,822,2017-07-31 18:48:14.999907,Lower Elementary
2503,12,2017-07-19 19:43:06.247748,Primary
1611,516,2017-02-20 21:23:57.239577,Toddler
982,335,2016-08-29 05:38:10.312242,Infant
981,335,2016-08-29 05:38:10.294998,Infant
1025,312,2016-08-29 05:38:16.530256,Primary
1026,312,2016-08-29 05:38:16.549534,Primary
1028,312,2016-08-29 05:38:16.606162,Toddler
792,312,2016-08-09 15:54:50.814142,Toddler
640,263,2016-07-02 00:07:20.171196,Infant
641,263,2016-07-02 00:07:20.237382,Toddler
1640,499,2017-02-26 14:30:57.816294,Primary
3219,986,2017-10-10 20:47:29.118319,Toddler
3220,988,2017-10-11 16:02:47.004666,Primary
3203,958,2017-10-08 21:30:24.76872,Infant Community
3201,972,2017-10-06 19:25:45.268078,Primary
3151,939,2017-09-25 08:52:13.750603,Toddler
1641,499,2017-02-26 14:31:12.695676,Primary
3221,988,2017-10-11 16:02:47.050771,Primary
3216,986,2017-10-10 20:47:28.816677,Primary
710,287,2016-07-20 16:30:49.969861,Toddler
3199,914,2017-10-05 19:20:12.8224,Primary
3215,974,2017-10-10 16:05:36.942026,Primary
3217,986,2017-10-10 20:47:28.837553,Primary
2665,597,2017-08-08 14:24:08.695793,Lower Elementary
708,287,2016-07-20 16:30:49.006455,Primary
300,95,2015-12-14 14:51:22.761543,Primary
722,295,2016-07-22 15:49:27.991193,Primary
709,287,2016-07-20 16:30:49.069235,Primary
3218,986,2017-10-10 20:47:28.853808,Primary
3709,1020,2018-02-21 20:49:42.022703,Adolescent
657,460,2016-07-12 18:26:52.039238,Lower Elementary
2569,764,2017-07-31 23:35:28.225317,Primary
2394,244,2017-06-30 15:49:24.677203,Primary
1642,499,2017-02-26 14:32:22.437666,Elementary
3713,1115,2018-02-21 22:22:47.422131,Lower Elementary
3149,957,2017-09-22 21:22:06.424039,Lower Elementary
3719,1116,2018-02-23 01:53:13.160422,Infant
3156,964,2017-09-25 16:17:23.145791,Primary
3153,951,2017-09-25 16:00:40.936345,Primary
707,46,2016-07-20 15:47:21.820646,Upper Elementary
1998,742,2017-04-26 01:28:15.94138,Primary
2002,743,2017-04-26 01:30:28.153594,Primary
2458,816,2017-07-10 21:02:20.672502,Lower Elementary
2457,816,2017-07-10 21:02:20.621984,Upper Elementary
2517,485,2017-07-25 07:37:18.461239,Primary
2380,802,2017-06-27 19:24:29.598421,Primary
3205,925,2017-10-09 04:39:25.719007,Adolescent
682,267,2016-07-19 17:54:47.692253,Toddler
679,267,2016-07-19 17:54:47.6085,Infant
2382,802,2017-06-27 19:24:30.04133,Toddler
2496,515,2017-07-19 16:51:54.227467,Elementary
1852,544,2017-03-22 15:48:37.242841,Preschool
1631,520,2017-02-24 18:22:25.731699,Primary
2582,846,2017-08-01 07:23:14.647156,Primary
745,303,2016-07-26 22:06:25.155096,Primary
2498,515,2017-07-19 16:52:17.243486,Primary
727,298,2016-07-22 16:05:52.325633,Children's House
671,37,2016-07-18 17:30:28.750971,Lower Elementary
2430,824,2017-07-07 23:11:05.977216,Elementary
669,37,2016-07-18 17:29:39.482104,Lower Elementary
1498,431,2017-01-11 01:21:21.241096,Lower Elementary
2431,824,2017-07-07 23:11:06.019889,Elementary
1612,516,2017-02-20 21:23:57.270748,Toddler
2666,597,2017-08-08 14:24:30.886265,Upper Elementary
2580,764,2017-07-31 23:38:49.095146,Elementary
2570,764,2017-07-31 23:35:37.505552,Primary
3714,1115,2018-02-21 22:22:47.638917,Adolescent
790,312,2016-08-09 15:54:50.053491,Primary
3711,1100,2018-02-21 21:44:11.49263,Lower Elementary
3204,958,2017-10-08 21:31:14.613922,Elementary
3708,1020,2018-02-21 02:14:12.599177,Primary
